site_name,year_trt,New_taxon,prop
Ainsdale Dune Slacks,2,Arrhenatherum_elatius,0.57636887608069165
Ainsdale Dune Slacks,2,Holcus_lanatus,0.57636887608069165
Ainsdale Dune Slacks,2,Lotus_corniculatus,0.48030739673390976
Ainsdale Dune Slacks,2,Ranunculus_flammula,0.48030739673390976
Ainsdale Dune Slacks,2,Brachythecium_rutabulum,0.38424591738712777
Algaida,0,Chaetopogon_fasciculatus,52.88788221970555
Algaida,0,Leontodon_longirostris,21.177802944507363
Algaida,0,Vulpia_geniculata,7.701019252548131
Algaida,0,Plantago_coronopus,3.737259343148358
Algaida,0,Trifolium_resupinatum,3.2842582106455263
Algaida,0,Lysimachia_arvensis,2.491506228765572
Algaida,0,Trifolium_campestre,1.4722536806342015
Algaida,0,Jacobaea_vulgaris,1.3590033975084939
Algaida,0,Acis_trichophylla,0.7927519818799547
Algaida,0,Hypochaeris_glabra,0.7927519818799547
Algaida,0,Echium_vulgare,0.6795016987542469
Algaida,0,Spergularia_rubra,0.6795016987542469
Algaida,0,Lotus_corniculatus,0.5662514156285391
Algaida,0,Carduus_meonanthus,0.4530011325028313
Algaida,0,Erodium_moschatum,0.33975084937712347
Algaida,0,Trifolium_stellatum,0.33975084937712347
Algaida,0,Bellardia_trixago,0.22650056625141565
Algaida,0,Cuscuta_epithymum,0.22650056625141565
Algaida,0,Rumex_bucephalophorus,0.22650056625141565
Algaida,0,Trifolium_pratense,0.22650056625141565
Algaida,1,Vulpia_geniculata,37.10349247036206
Algaida,1,Chaetopogon_fasciculatus,33.963473245754564
Algaida,1,Plantago_coronopus,17.87888497276514
Algaida,1,Echium_vulgare,2.56328099967959
Algaida,1,Leontodon_longirostris,2.4991989746876
Algaida,1,Lysimachia_arvensis,1.0573534123678308
Algaida,1,Crepis_capillaris,0.768984299903877
Algaida,1,Trifolium_campestre,0.768984299903877
Algaida,1,Jacobaea_vulgaris,0.7049022749118872
Algaida,1,Lythrum_junceum,0.7049022749118872
Algaida,1,Trifolium_stellatum,0.4485741749439282
Algaida,1,Spergularia_rubra,0.3844921499519385
Algaida,1,Centaurium_erythraea,0.25632809996795897
Algaida,1,Trifolium_resupinatum,0.19224607497596924
Algaida,1,Bellardia_trixago,0.12816404998397948
Algaida,1,Dipcadi_serotinum,0.12816404998397948
Algaida,1,Sonchus_tenerrimus,0.12816404998397948
Algaida,1,Acis_trichophylla,0.06408202499198974
Algaida,1,Briza_minor,0.06408202499198974
Algaida,1,Bromus_racemosus,0.06408202499198974
Algaida,1,Heliotropium_europaeum,0.06408202499198974
Algaida,1,Hypochaeris_glabra,0.06408202499198974
Algaida,2,Plantago_coronopus,49.9477169745556
Algaida,2,Vulpia_geniculata,21.29661903102126
Algaida,2,Leontodon_longirostris,9.759498082955734
Algaida,2,Echium_vulgare,9.306378529104217
Algaida,2,Heliotropium_europaeum,3.346113628441966
Algaida,2,Lysimachia_arvensis,2.997560125479261
Algaida,2,Hypochaeris_glabra,1.2547926106657372
Algaida,2,Acis_trichophylla,0.6971070059254095
Algaida,2,Medicago_littoralis,0.27884280237016384
Algaida,2,Sonchus_tenerrimus,0.27884280237016384
Algaida,2,Dipcadi_serotinum,0.20913210177762287
Algaida,2,Erodium_moschatum,0.13942140118508192
Algaida,2,Trifolium_campestre,0.13942140118508192
